Event,Region,Place,Location,Player Name,Deck,Engine
Regional,NA,Top 8,Little Rock Arkansas,John Casey Willerton,Kashtira,Fiendsmith
Regional,NA,Top 8,Little Rock Arkansas,Dante Alfredo Silano,Ryzeal,Fiendsmith
Regional,NA,Top 8,Little Rock Arkansas,Khoa Anh Chau,Kashtira,Fiendsmith
Regional,NA,Top 8,Little Rock Arkansas,Colton Alan Taylor,Unknown,No Engine
Regional,NA,1st,San Diego California,Jesus Barrio,Rescue-ACE,Fiendsmith
Regional,NA,2nd,San Diego California,Kaihuang Zhang,Labrynth,No Engine
Regional,NA,Top 4,San Diego California,Ulises Aispuro,Maliss,Sky striker
Regional,NA,Top 4,San Diego California,Nicolas Phan,Unknown,No Engine
Regional,NA,Top 8,San Diego California,Christopher Djunaidi,Ryzeal,No Engine
Regional,NA,Top 8,San Diego California,Kenneth Li,Ryzeal,Fiendsmith
Regional,NA,Top 8,San Diego California,Trent Buras,Ryzeal,Fiendsmith
Regional,NA,Top 8,San Diego California,Alan Wang,Ryzeal,Fiendsmith
Regional,NA,1st,Lexington Discord Remote Duel,Franco Persano,Bystial,Fiendsmith
Regional,NA,2nd,Lexington Discord Remote Duel,Juan Miguel Medina,Ryzeal,Fiendsmith
Regional,NA,Top 4,Lexington Discord Remote Duel,Taiel Fernandez,Ryzeal,Fiendsmith
Regional,NA,Top 4,Lexington Discord Remote Duel,Mario Angelo De Micco,Tenpai Dragon,No Engine
Regional,NA,Top 8,Lexington Discord Remote Duel,Felipe Bisserier Zapata,Ryzeal,Fiendsmith
Regional,NA,Top 8,Lexington Discord Remote Duel,Steven Trifunoski,Tenpai Dragon,Fiendsmith
Regional,NA,Top 8,Lexington Discord Remote Duel,Cole Dylan Chad Maki,Unknown,No Engine
Regional,NA,Top 8,Lexington Discord Remote Duel,Hamzah Malik,Ryzeal,No Engine
Regional,EU,1st,Italy Altamura,Candeloro Sonny,Ryzeal,Fiendsmith
Regional,EU,2nd,Italy Altamura,Vitalba Gabriele,Kashtira,Fiendsmith
Regional,EU,Top 4,Italy Altamura,Dell´acqua Mattia,Ryzeal,Fiendsmith
Regional,EU,Top 4,Italy Altamura,Paradisi Massimo,Ryzeal,No Engine
Regional,EU,Top 8,Italy Altamura,Cassano Donato,Ryzeal,No Engine
Regional,EU,Top 8,Italy Altamura,Gioia Davide,Plant Link,No Engine
Regional,EU,Top 8,Italy Altamura,Antico Danny,Maliss,Sky striker
Regional,EU,Top 8,Italy Altamura,DiBari Tony,Memento,No Engine
Regional,EU,1st,Italy Saronno,Lorenzo Muselli,Ryzeal,Fiendsmith
Regional,EU,2nd,Italy Saronno,Timoti Baggio,Maliss,Sky striker
Regional,EU,Top 4,Italy Saronno,Michele Aimi,Ryzeal,Fiendsmith
Regional,EU,Top 4,Italy Saronno,Anthony Matriccian,Tenpai Dragon,Bystial
Regional,EU,Top 8,Italy Saronno,Filippo Morgante,Memento,Fiendsmith
Regional,EU,Top 8,Italy Saronno,Ivan Perini,Ryzeal,Fiendsmith
Regional,EU,Top 8,Italy Saronno,Francesco Spirito,Ryzeal,Fiendsmith Kash
Regional,EU,Top 8,Italy Saronno,Andrea Rocchi,Ryzeal,Fiendsmith
Regional,EU,1st,Greece Thessaloniki,Karatis Christos,Labrynth,No Engine
Regional,EU,2nd,Greece Thessaloniki,Kottoglou George,Maliss,Kashtira
Regional,EU,Top 4,Greece Thessaloniki,Chatzistavrou Charalampos,Maliss,Fiendsmith
Regional,EU,Top 4,Greece Thessaloniki,Tsavdaris Dimitris,Centur-Ion,Bystial
Regional,EU,Top 8,Greece Thessaloniki,George Manos,White Forest,Azamina FS
Regional,EU,Top 8,Greece Thessaloniki,Nakos Agamemnon,Ryzeal,Fiendsmith
Regional,EU,Top 8,Greece Thessaloniki,Styliades George,Ryzeal,No Engine
Regional,EU,Top 8,Greece Thessaloniki,Manolis Savoulidis,Maliss,No Engine
Regional,EU,1st,France Vitrolles,Lucas Lancelot,Ryzeal,Fiendsmith
Regional,EU,2nd,France Vitrolles,Paul Schuffenecker,Maliss,Sky striker
Regional,EU,Top 4,France Vitrolles,MIke Brucato,Ryzeal,Fiendsmith Bystial
Regional,EU,Top 4,France Vitrolles,Thibaut Billon,Maliss,Fiendsmith
Regional,EU,Top 8,France Vitrolles,Donovan Beriot,Mermail,No Engine
Regional,EU,Top 8,France Vitrolles,Yovann Valloire,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Vitrolles,Damien Valla,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Vitrolles,Mohamed Denhadji,Ryzeal,ToyBox
Regional,NA,1st,Richmond Virginia,Ian Louis Valle Aquino,Ryzeal,Fiendsmith
Regional,NA,2nd,Richmond Virginia,Jordan Philip Rosbottom,Maliss,Sky striker
Regional,NA,Top 4,Richmond Virginia,Joseph Bellafiore,Yubel,Fiendsmith
Regional,NA,Top 4,Richmond Virginia,Oscar Orlando Gallardo,Ryzeal,No Engine
Regional,NA,Top 8,Richmond Virginia,Francisco Murrel Rome,Ryzeal,Fiendsmith Bystial
Regional,NA,Top 8,Richmond Virginia,Zhenghao Shi,Ryzeal,Fiendsmith
Regional,NA,Top 8,Richmond Virginia,Steven John Logan,Memento,No Engine
Regional,NA,Top 8,Richmond Virginia,Alexander Vaughan Hosler,Ryzeal,Fiendsmith
Regional,SA,1st,Santiago Chile,Sebastian Alonso Salvatierra Leiva,Labrynth,No Engine
Regional,SA,2nd,Santiago Chile,Jose Antonio Jesus Castillo Aram,Maliss,Fiendsmith
Regional,SA,Top 4,Santiago Chile,Kevin Wing Hung Yu Sien,Maliss,No Engine
Regional,SA,Top 4,Santiago Chile,Andre Alejandro Arredondo Seguel,Maliss,Sky striker
Regional,SA,Top 8,Santiago Chile,Jose Tomas Mallea Velasquez,Maliss,Sky striker
Regional,SA,Top 8,Santiago Chile,Benjamin Ignacio Muñoz Mena,Memento,No Engine
Regional,SA,Top 8,Santiago Chile,Sebastian Ignacio Tadeo Galaz Est,Yubel,Fiendsmith
Regional,SA,Top 8,Santiago Chile,Chris Javier Aquilar Arellano,Voiceless Voice,No Engine
Regional,EU,1st,France Lyon,Ilias Fassi,Maliss,Bystial
Regional,EU,2nd,France Lyon,Jordan Chenais,Ryzeal,Fiendsmith
Regional,EU,Top 4,France Lyon,Edouard Tan,Maliss,Kashtira
Regional,EU,Top 4,France Lyon,Akim Leone,Ryzeal,Fiendsmith
Regional,EU,Top 8,France Lyon,Alexandre Stefanini,Magical Musketeer,Fiendsmith
Regional,EU,Top 8,France Lyon,Haris Hadj-Arab,Maliss,Fiendsmith
Regional,EU,Top 8,France Lyon,Benoit Sever,Ryzeal,Kashtira
Regional,EU,Top 8,France Lyon,Valentin Bouvard,Maliss,Fiendsmith
Regional,EU,1st,Tel Aviv Israel,Simon Hatav,Ryzeal,Fiendsmith Bystial
Regional,EU,2nd,Tel Aviv Israel,Lior Chen,Ritual Beast,Nemesis
Regional,EU,Top 4,Tel Aviv Israel,Or Barbi,Ryzeal,Fiendsmith Bystial
Regional,EU,Top 4,Tel Aviv Israel,Eyal Gold,Ryzeal,Fiendsmith Bystial
Regional,EU,Top 8,Tel Aviv Israel,Yonatan Refael,Fiendsmith,Adventure
Regional,EU,Top 8,Tel Aviv Israel,Niv Yaakobi,Ryzeal,Fiendsmith
Regional,EU,Top 8,Tel Aviv Israel,Yoav Lubobitz,Yubel,Fiendsmith
Regional,EU,Top 8,Tel Aviv Israel,Oded Moshe,Kashtira,Fiendsmith
Regional,NA,1st,Philadelphia Pennsylvania,Logan Samuel Shepard,Ryzeal,Fiendsmith
Regional,NA,2nd,Philadelphia Pennsylvania,Timothy William Roma,Maliss,Bystial
