Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Regional;NA;Top 4;Lubbock Texas;Christian Greathouse;Ryzeal;Fiendsmith Bystial;2
Regional;NA;Top 8;Lubbock Texas;Erin Thomas Medina;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;Lubbock Texas;Cristian Jared Cloud;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;Lubbock Texas;Eldin Hodzic;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;Lubbock Texas;Alexander Trevino;Maliss;Sky Striker;2
Regional;NA;1st;Little Rock Arkansas;Brett Hunter Shirley;White Forest;Azamina;2
Regional;NA;2nd;Little Rock Arkansas;Alexander Louis Cancel;Tenpai Dragon;Fiendsmith;2
Regional;NA;Top 4;Little Rock Arkansas;Anthony Long Vang;Ryzeal;Fiendsmith;2
Regional;NA;Top 4;Little Rock Arkansas;David Deandre Golightly;Kashtira;Fiendsmith;2
Regional;NA;Top 8;Little Rock Arkansas;John Casey Willerton;Kashtira;Fiendsmith;2
Regional;NA;Top 8;Little Rock Arkansas;Dante Alfredo Silano;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;Little Rock Arkansas;Khoa Anh Chau;Kashtira;Fiendsmith;2
Regional;NA;1st;San Diego California;Jesus Barrio;Rescue-ACE;Fiendsmith;2
Regional;NA;2nd;San Diego California;Kaihuang Zhang;Labrynth;No Engine;2
Regional;NA;Top 4;San Diego California;Ulises Aispuro;Maliss;Sky Striker;2
Regional;NA;Top 8;San Diego California;Christopher Djunaidi;Ryzeal;No Engine;2
Regional;NA;Top 8;San Diego California;Kenneth Li;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;San Diego California;Trent Buras;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;San Diego California;Alan Wang;Ryzeal;Fiendsmith;2
Regional;NA;1st;Lexington Discord Remote Duel;Franco Persano;Bystial;Fiendsmith;2
Regional;NA;2nd;Lexington Discord Remote Duel;Juan Miguel Medina;Ryzeal;Fiendsmith;2
Regional;NA;Top 4;Lexington Discord Remote Duel;Taiel Fernandez;Ryzeal;Fiendsmith;2
Regional;NA;Top 4;Lexington Discord Remote Duel;Mario Angelo De Micco;Tenpai Dragon;No Engine;2
Regional;NA;Top 8;Lexington Discord Remote Duel;Felipe Bisserier Zapata;Ryzeal;Fiendsmith;2
Regional;NA;Top 8;Lexington Discord Remote Duel;Steven Trifunoski;Tenpai Dragon;Fiendsmith;2
Regional;NA;Top 8;Lexington Discord Remote Duel;Hamzah Malik;Ryzeal;No Engine;2
Regional;EU;1st;Italy Altamura;Candeloro Sonny;Ryzeal;Fiendsmith;2
Regional;EU;2nd;Italy Altamura;Vitalba Gabriele;Kashtira;Fiendsmith;2
Regional;EU;Top 4;Italy Altamura;Dell´acqua Mattia;Ryzeal;Fiendsmith;2
Regional;EU;Top 4;Italy Altamura;Paradisi Massimo;Ryzeal;No Engine;2
Regional;EU;Top 8;Italy Altamura;Cassano Donato;Ryzeal;No Engine;2
Regional;EU;Top 8;Italy Altamura;Gioia Davide;Plant Link;No Engine;2
Regional;EU;Top 8;Italy Altamura;Antico Danny;Maliss;Sky Striker;2
Regional;EU;Top 8;Italy Altamura;DiBari Tony;Memento;No Engine;2
Regional;EU;1st;Italy Saronno;Lorenzo Muselli;Ryzeal;Fiendsmith;2
Regional;EU;2nd;Italy Saronno;Timoti Baggio;Maliss;Sky Striker;2
Regional;EU;Top 4;Italy Saronno;Michele Aimi;Ryzeal;Fiendsmith;2
Regional;EU;Top 4;Italy Saronno;Anthony Matriccian;Tenpai Dragon;Bystial;2
Regional;EU;Top 8;Italy Saronno;Filippo Morgante;Memento;Fiendsmith;2
Regional;EU;Top 8;Italy Saronno;Ivan Perini;Ryzeal;Fiendsmith;2
Regional;EU;Top 8;Italy Saronno;Francesco Spirito;Ryzeal;Fiendsmith;2
Regional;EU;Top 8;Italy Saronno;Andrea Rocchi;Ryzeal;Fiendsmith;2
Regional;EU;1st;Greece Thessaloniki;Karatis Christos;Labrynth;No Engine;2
Regional;EU;2nd;Greece Thessaloniki;Kottoglou George;Maliss;Kashtira;2
Regional;EU;Top 4;Greece Thessaloniki;Chatzistavrou Charalampos;Maliss;Fiendsmith;2
Regional;EU;Top 4;Greece Thessaloniki;Tsavdaris Dimitris;Centur-Ion;Bystial;2
Regional;EU;Top 8;Greece Thessaloniki;George Manos;White Forest;Azamina;2
Regional;EU;Top 8;Greece Thessaloniki;Nakos Agamemnon;Ryzeal;Fiendsmith;2
Regional;EU;Top 8;Greece Thessaloniki;Styliades George;Ryzeal;No Engine;2
Regional;EU;Top 8;Greece Thessaloniki;Manolis Savoulidis;Maliss;No Engine;2
Regional;EU;1st;France Vitrolles;Lucas Lancelot;Ryzeal;Fiendsmith;2
Regional;EU;2nd;France Vitrolles;Paul Schuffenecker;Maliss;Sky Striker;2
Regional;EU;Top 4;France Vitrolles;MIke Brucato;Ryzeal;Fiendsmith Bystial;2
Regional;EU;Top 4;France Vitrolles;Thibaut Billon;Maliss;Fiendsmith;2
Regional;EU;Top 8;France Vitrolles;Donovan Beriot;Mermail;No Engine;2
Regional;EU;Top 8;France Vitrolles;Yovann Valloire;Ryzeal;Fiendsmith;2
Regional;EU;Top 8;France Vitrolles;Damien Valla;Ryzeal;Fiendsmith;2
Regional;EU;Top 8;France Vitrolles;Mohamed Denhadji;Ryzeal;Toy Box;2
Regional;NA;1st;Richmond Virginia;Ian Louis Valle Aquino;Ryzeal;Fiendsmith;3
Regional;NA;2nd;Richmond Virginia;Jordan Philip Rosbottom;Maliss;Sky Striker;3
Regional;NA;Top 4;Richmond Virginia;Joseph Bellafiore;Yubel;Fiendsmith;3
Regional;NA;Top 4;Richmond Virginia;Oscar Orlando Gallardo;Ryzeal;No Engine;3
Regional;NA;Top 8;Richmond Virginia;Francisco Murrel Rome;Ryzeal;Fiendsmith Bystial;3
Regional;NA;Top 8;Richmond Virginia;Zhenghao Shi;Ryzeal;Fiendsmith;3
Regional;NA;Top 8;Richmond Virginia;Steven John Logan;Memento;No Engine;3
Regional;NA;Top 8;Richmond Virginia;Alexander Vaughan Hosler;Ryzeal;Fiendsmith;3
Regional;SA;1st;Santiago Chile;Sebastian Alonso Salvatierra Leiva;Labrynth;No Engine;3
Regional;SA;2nd;Santiago Chile;Jose Antonio Jesus Castillo Aram;Maliss;Fiendsmith;3
Regional;SA;Top 4;Santiago Chile;Kevin Wing Hung Yu Sien;Maliss;No Engine;3
Regional;SA;Top 4;Santiago Chile;Andre Alejandro Arredondo Seguel;Maliss;Sky Striker;3
Regional;SA;Top 8;Santiago Chile;Jose Tomas Mallea Velasquez;Maliss;Sky Striker;3
Regional;SA;Top 8;Santiago Chile;Benjamin Ignacio Muñoz Mena;Memento;No Engine;3
Regional;SA;Top 8;Santiago Chile;Sebastian Ignacio Tadeo Galaz Est;Yubel;Fiendsmith;3
Regional;SA;Top 8;Santiago Chile;Chris Javier Aquilar Arellano;Voiceless Voice;No Engine;3
Regional;EU;1st;France Lyon;Ilias Fassi;Maliss;Bystial;3
Regional;EU;2nd;France Lyon;Jordan Chenais;Ryzeal;Fiendsmith;3
Regional;EU;Top 4;France Lyon;Edouard Tan;Maliss;Kashtira;3
Regional;EU;Top 4;France Lyon;Akim Leone;Ryzeal;Fiendsmith;3
Regional;EU;Top 8;France Lyon;Alexandre Stefanini;Magical Musketeer;Fiendsmith;3
Regional;EU;Top 8;France Lyon;Haris Hadj-Arab;Maliss;Fiendsmith;3
Regional;EU;Top 8;France Lyon;Benoit Sever;Ryzeal;Kashtira;3
Regional;EU;Top 8;France Lyon;Valentin Bouvard;Maliss;Fiendsmith;3
Regional;EU;1st;Tel Aviv Israel;Simon Hatav;Ryzeal;Fiendsmith Bystial;3
Regional;EU;2nd;Tel Aviv Israel;Lior Chen;Ritual Beast;Nemesis;3
Regional;EU;Top 4;Tel Aviv Israel;Or Barbi;Ryzeal;Fiendsmith Bystial;3
Regional;EU;Top 4;Tel Aviv Israel;Eyal Gold;Ryzeal;Fiendsmith Bystial;3
Regional;EU;Top 8;Tel Aviv Israel;Yonatan Refael;Fiendsmith;Adventure;3
Regional;EU;Top 8;Tel Aviv Israel;Niv Yaakobi;Ryzeal;Fiendsmith;3
Regional;EU;Top 8;Tel Aviv Israel;Yoav Lubobitz;Yubel;Fiendsmith;3
Regional;EU;Top 8;Tel Aviv Israel;Oded Moshe;Kashtira;Fiendsmith;3
Regional;NA;1st;Philadelphia Pennsylvania;Logan Samuel Shepard;Ryzeal;Fiendsmith;4
Regional;NA;2nd;Philadelphia Pennsylvania;Timothy William Roma;Maliss;Bystial;4
